date, pm25, pm10, o3, no2, co
2019/6/19, 28, 62, 38, 28, 35
2019/6/20, 36, 80, 45, 28, 34
2019/6/21, 45, 77, 46, 28, 35
2019/6/22, 44, 77, 46, 29, 35
2019/6/23, 44, 77, 42, 27, 34
2019/6/24, 43, 63, 48, 27, 33
2019/6/25, 37, 57, 43, 28, 35
2019/6/26, 34, 30, 43, 27, 36
2019/6/27, 21, 23, 48, 28, 35
2019/6/28, 17, 12, 43, 28, 33
2019/6/29, 11, 19, 40, 26, 33
2019/6/30, 15, 15, 46, 26, 34
2019/1/1, 224, 177, 32, 104, 85
2019/1/2, 310, 160, 30, 113, 101
2019/1/3, 264, 150, 34, 110, 75
2019/1/4, 237, 167, 48, 114, 64
2019/1/5, 283, 161, 47, 105, 80
2019/1/6, 267, 143, 29, 103, 112
2019/1/7, 219, 177, 30, 111, 104
2019/1/8, 298, 179, 33, 115, 95
2019/1/9, 304, 166, 36, 114, 96
2019/1/10, 283, 171, 47, 112, 96
2019/1/11, 294, 171, 41, 108, 87
2019/1/12, 292, 148, 72, 101, 81
2019/1/13, 232, 143, 32, 101, 90
2019/1/14, 216, 169, 61, 109, 84
2019/1/15, 290, 147, 29, 111, 103
2019/1/16, 226, 124, 36, 108, 99
2019/1/17, 160, 120, 33, 109, 95
2019/1/18, 150, 139, 46, 109, 93
2019/1/19, 200, 134, 31, 103, 86
2019/1/20, 187, 118, 18, 101, 77
2019/1/21, 144, 104, 31, 103, 78
2019/1/22, 120, 72, 29, 86, 94
2019/1/23, 72, 84, 42, 88, 104
2019/1/24, 83, 104, 43, 88, 108
2019/1/25, 106, 101, 27, 86, 112
2019/1/26, 100, 77, 26, 88, 92
2019/1/27, 76, 64, 27, 89, 100
2019/1/28, 65, 74, 28, 95, 106
2019/1/29, 74, 109, 35, 101, 75
2019/1/30, 123, 85, 32, 98, 104
2019/1/31, 86, 78, 62, 93, 91
2019/2/1, 83, 78, 49, 84, 76
2019/2/2, 83, 78, 38, 81, 88
2019/2/3, 83, 115, 24, 87, 95
2019/2/4, 112, 109, 41, 92, 112
2019/2/5, 106, 88, 40, 86, 100
2019/2/6, 86, 70, 41, 84, 97
2019/2/7, 69, 71, 35, 64, 53
2019/2/8, 71, 112, 27, 65, 41
2019/2/9, 134, 132, 30, 84, 59
2019/2/10, 183, 135, 40, 89, 65
2019/2/11, 191, 113, 47, 85, 70
