date, pm25, pm10, o3, no2, so2, co
2019/6/4, 122, 60, 9, 10, 1, 2
2019/6/5, 100, 46, 9, 7, 1, 2
2019/6/6, 79, 42, 11, 6, 1, 2
2019/6/7, 74, 39, 11, 5, 1, 1
2019/6/8, 75, 61, 18, 8, 1, 2
2019/6/9, 117, 68, 16, 6, 1, 1
2019/6/10, 124, 63, 12, 5, 1, 1
2019/6/11, 107, 67, 13, 4, 1, 1
2019/6/12, 106, 81, 41, 15, 1, 3
2019/6/13, 125, 85, 28, 12, 1, 3
2019/6/14, 143, 64, 12, 9, 1, 2
2019/6/15, 120, 68, 20, 9, 1, 2
2019/6/16, 115, 102, 19, 13, 1, 3
2019/6/17, 142, 79, 16, 12, 1, 2
2019/6/18, 143, 79, 25, 9, 1, 2
2019/6/19, 146, 73, 10, 10, 1, 3
2019/6/20, 128, 47, 10, 6, 1, 2
2019/6/21, 74, 44, 5, 7, 1, 2
2019/6/22, 70, 42, 2, 5, 1, 1
2019/6/23, 70, 60, 8, 9, 1, 2
2019/6/24, 93, 61, 11, 9, 1, 2
2019/6/25, 83, 55, 8, 8, 1, 1
2019/6/26, 78, 61, 10, 14, 1, 2
2019/6/27, 93, 68, 20, 18, 2, 2
2019/6/28, 124, 73, 20, 15, 2, 3
2019/6/29, 135, 78, 12, 18, 3, 4
2019/6/30, 138, 50, 11, 8, 2, 2
2019/1/1, 289, 179, 38, 47, 6, 2
2019/1/2, 240, 344, 38, 71, 13, 2
2019/1/3, 341, 338, 47, 50, 9, 2
2019/1/4, 347, 278, 28, 52, 7, 2
2019/1/5, 310, 177, 28, 44, 7, 2
2019/1/6, 237, 212, 28, 58, 9, 2
2019/1/7, 251, 198, 34, 38, 9, 2
2019/1/8, 243, 223, 43, 24, 8, 2
2019/1/9, 256, 282, 51, 38, 8, 2
2019/1/10, 312, 263, 46, 35, 9, 2
2019/1/11, 288, 319, 37, 27, 8, 2
2019/1/12, 310, 265, 38, 29, 7, 2
2019/1/13, 300, 364, 36, 48, 13, 2
