date, pm25, pm10, o3, no2, so2, co
2019/8/7, 95, 69, 18, 8, 1, 9
2019/8/8, 106, 47, 9, 4, 1, 5
2019/8/9, 47, 35, 6, 6, 1, 5
2019/8/10, 56, 56, 14, 7, 1, 7
2019/8/11, 88, 44, 7, 6, 1, 7
2019/8/12, 58, 47, 5, 5, 1, 11
2019/8/13, 65, 47, 11, 6, 1, 8
2019/8/14, 89, 49, 7, 4, 1, 6
2019/8/15, 93, 31, 7, 4, 1, 6
2019/8/16, 56, 17, 3, 4, 1, 2
2019/8/17, 33, 25, 5, 5, 1, 8
2019/8/18, 48, 67, 13, 7, 1, 13
2019/8/19, 113, 67, 9, 4, 1, 8
2019/8/20, 117, 91, 12, 5, 1, 7
2019/8/21, 124, 91, 7, 10, 2, 14
2019/8/22, 119, 106, 10, 9, 2, 10
2019/8/23, 127, 126, 10, 10, 2, 12
2019/8/24, 147, 59, 10, 9, 1, 8
2019/8/25, 102, 49, 7, 9, 1, 9
2019/8/26, 81, 94, 28, 10, 2, 12
2019/8/27, 140, 87, 42, 9, 3, 12
2019/8/28, 123, 67, 12, 10, 2, 9
2019/8/29, 100, 87, 26, 9, 2, 10
2019/8/30, 183, 101, 13, 12, 2, 17
2019/8/31, 151, 76, 13, 9, 1, 9
2019/9/1, 114, 67, 18, 8, 2, 11
2019/9/2, 119, 102, 13, 9, 2, 11
2019/9/3, 169, 99, 20, 9, 2, 9
2019/9/4, 162, 65, 23, 9, 2, 9
2019/9/5, 109, 72, 12, 9, 2, 8
2019/9/6, 117, 71, 3, 10, 1, 11
2019/9/7, 123, 60, 19, 6, 1, 7
2019/9/8, 113, 83, 9, 5, 1, 7
2019/9/9, 147, 95, 12, 7, 1, 10
2019/9/10, 154, 108, 24, 10, 1, 10
2019/9/11, 169, 84, 15, 10, 1, 9
2019/9/12, 148, 60, 15, 2, 1, 7
2019/9/13, 100, 49, 12, 2, 1, 5
2019/9/14, 91, 55, 13, 2, 1, 6
2019/9/15, 105, 92, 14, 2, 2, 12
2019/9/16, 158, 88, 25, 1, 1, 8
2019/9/17, 144, 69, 26, 1, 2, 6
2019/9/18, 105, 50, 15, 4, 2, 6
2019/9/19, 84, 89, 22, 9, 2, 10
2019/9/20, 136, 74, 18, 6, 2, 5
2019/9/21, 126, 64, 9, 2, 2, 7
2019/9/22, 99, 71, 18, 2, 2, 6
2019/9/23, 124, 70, 17, 2, 2, 8
2019/9/24, 107, 63, 17, 2, 1, 7
2019/9/25, 96, 59, 32, 2, 3, 5
2019/9/26, 102, 43, 16, 2, 2, 5
2019/9/27, 68, 56, 13, 3, 2, 5
